ID,CloseFrd_Total,NegEmoSupp_Total,Vulnerability_Ratio
203,5,2,0.4
221,4,2,0.5
235,8,5,0.625
211,5,1,0.2
214,8,3,0.375
236,8,5,0.625
244,4,3,0.75
241,7,2,0.286
231,8,3,0.375
229,8,2,0.25
215,8,2,0.25
205,8,7,0.875
233,5,3,0.6
217,8,4,0.5
208,8,3,0.375
223,3,1,0.333
240,5,4,0.8
245,5,1,0.2
242,5,4,0.8
220,8,4,0.5
238,5,1,0.2
201,1,1,1
219,4,2,0.5
232,8,3,0.375
239,8,1,0.125
213,8,3,0.375
228,8,3,0.375
243,5,3,0.6
225,6,3,0.5
227,6,2,0.333
226,8,4,0.5
234,8,8,1
237,3,1,0.333
204,4,2,0.5
222,8,3,0.375
230,7,1,0.143
212,6,1,0.167
209,5,2,0.4
246,6,4,0.667
216,8,8,1
206,8,8,1
207,5,1,0.2
224,7,1,0.143
202,8,6,0.75
218,8,6,0.75
210,4,5,1.25
39,4,3,0.75
25,8,7,0.875
17,8,5,0.625
31,8,3,0.375
6,8,0,0
36,1,1,1
43,8,6,0.75
49,8,2,0.25
29,7,3,0.429
22,8,2,0.25
51,7,3,0.429
50,8,2,0.25
4,8,3,0.375
23,3,2,0.667
41,8,3,0.375
45,8,2,0.25
1,8,6,0.75
13,8,4,0.5
28,8,1,0.125
12,7,5,0.714
20,8,4,0.5
7,6,4,0.667
16,7,4,0.571
3,8,1,0.125
11,6,4,0.667
10,8,3,0.375
47,8,2,0.25
42,8,6,0.75
5,5,1,0.2
27,6,6,1
8,3,3,1
26,8,5,0.625
14,5,4,0.8
37,8,2,0.25
21,8,6,0.75
38,8,3,0.375
19,8,8,1
40,5,1,0.2
15,8,6,0.75
52,8,2,0.25
24,5,1,0.2
46,8,8,1
2,8,3,0.375
48,8,4,0.5
35,8,8,1
34,4,1,0.25
18,8,8,1
30,8,3,0.375
33,8,2,0.25
44,8,6,0.75
32,3,1,0.333
9,8,4,0.5
53,8,7,0.875
326,6,3,0.5
315,8,4,0.5
331,8,3,0.375
348,8,5,0.625
311,8,4,0.5
318,6,1,0.167
350,6,4,0.667
312,8,3,0.375
317,8,2,0.25
304,6,2,0.333
329,7,6,0.857
319,4,0,0
308,7,6,0.857
346,8,3,0.375
323,4,1,0.25
333,8,4,0.5
310,6,2,0.333
324,1,1,1
313,8,1,0.125
306,8,3,0.375
337,8,4,0.5
328,8,8,1
309,8,7,0.875
351,8,4,0.5
314,8,4,0.5
334,8,8,1
325,4,4,1
347,8,2,0.25
327,8,4,0.5
339,5,1,0.2
341,6,1,0.167
344,8,3,0.375
330,8,7,0.875
305,8,2,0.25
322,7,1,0.143
316,8,2,0.25
321,8,2,0.25
302,8,8,1
338,8,8,1
303,8,5,0.625
336,8,2,0.25
349,4,3,0.75
320,8,3,0.375
301,5,3,0.6
340,8,3,0.375
345,8,3,0.375
307,5,4,0.8
332,7,0,0
335,8,4,0.5
343,3,4,1.333
342,8,3,0.375
139,8,8,1
107,8,8,1
110,8,3,0.375
127,6,2,0.333
117,5,1,0.2
112,7,6,0.857
121,8,8,1
125,6,4,0.667
140,8,5,0.625
131,7,3,0.429
143,6,5,0.833
126,8,4,0.5
116,8,5,0.625
134,7,3,0.429
122,6,1,0.167
141,8,5,0.625
111,6,2,0.333
109,7,3,0.429
101,8,6,0.75
136,8,5,0.625
130,7,4,0.571
105,8,6,0.75
133,5,1,0.2
102,8,1,0.125
106,7,2,0.286
119,7,2,0.286
138,4,1,0.25
103,8,4,0.5
124,7,3,0.429
132,8,8,1
142,7,4,0.571
129,8,5,0.625
137,8,2,0.25
113,4,4,1
144,8,8,1
104,8,3,0.375
108,7,1,0.143
118,7,4,0.571
115,8,3,0.375
128,8,8,1
123,8,3,0.375
114,3,2,0.667
120,8,2,0.25
135,8,6,0.75
145,6,1,0.167
146,8,6,0.75
147,7,5,0.714